Date of Week End,Candidate,Platform,Spend
3/2/2019,Amy Klobuchar,Facebook,4689
3/2/2019,Marianne Williamson,Facebook,4035
3/2/2019,Tulsi Gabbard,Facebook,3632
3/2/2019,Pete Buttigieg,Facebook,1182
3/2/2019,Marianne Williamson,Google,900
3/2/2019,Pete Buttigieg,Google,600
3/2/2019,Julián Castro,Facebook,453
3/2/2019,Andrew Yang,Google,200
3/9/2019,Donald Trump,Facebook,217062
3/9/2019,Donald Trump,Google,183700
3/9/2019,Jay Inslee,Facebook,63116
3/9/2019,Jay Inslee,Google,34400
3/9/2019,John Hickenlooper,Facebook,25957
3/9/2019,Elizabeth Warren,Facebook,20988
3/9/2019,Kirsten Gillibrand,Facebook,18517
3/9/2019,Elizabeth Warren,Google,17300
3/9/2019,Cory Booker,Facebook,14916
3/9/2019,John Hickenlooper,Google,13600
3/9/2019,Andrew Yang,Facebook,12987
3/9/2019,Tulsi Gabbard,Facebook,10503
3/9/2019,Cory Booker,Google,10200
3/9/2019,Kirsten Gillibrand,Google,9400
3/9/2019,Tulsi Gabbard,Google,8400
3/9/2019,Amy Klobuchar,Google,6800
3/9/2019,Kamala Harris,Google,6500
3/9/2019,Bernie Sanders,Facebook,4776
3/9/2019,Bernie Sanders,Google,4300
3/9/2019,Amy Klobuchar,Facebook,3691
3/9/2019,Kamala Harris,Facebook,3164
3/9/2019,Marianne Williamson,Facebook,2355
3/9/2019,John Delaney,Facebook,1904
3/9/2019,Pete Buttigieg,Google,1100
3/9/2019,Pete Buttigieg,Facebook,1023
3/9/2019,Marianne Williamson,Google,600
3/9/2019,Julián Castro,Facebook,350
3/9/2019,Andrew Yang,Google,200
3/16/2019,Donald Trump,Google,201100
3/16/2019,Beto O'Rourke,Google,161000
3/16/2019,Donald Trump,Facebook,109343
3/16/2019,Beto O'Rourke,Facebook,101705
3/16/2019,Pete Buttigieg,Google,53800
3/16/2019,Elizabeth Warren,Facebook,52953
3/16/2019,Bernie Sanders,Facebook,50481
3/16/2019,Elizabeth Warren,Google,28000
3/16/2019,Jay Inslee,Google,19900
3/16/2019,Cory Booker,Facebook,19389
3/16/2019,Bernie Sanders,Google,16900
3/16/2019,Kirsten Gillibrand,Facebook,13923
3/16/2019,Tulsi Gabbard,Google,13100
3/16/2019,Amy Klobuchar,Google,12000
3/16/2019,Kamala Harris,Google,11500
3/16/2019,Andrew Yang,Facebook,11240
3/16/2019,John Delaney,Facebook,10218
3/16/2019,Jay Inslee,Facebook,9580
3/16/2019,Kamala Harris,Facebook,8637
3/16/2019,Cory Booker,Google,8400
3/16/2019,Amy Klobuchar,Facebook,8201
3/16/2019,Pete Buttigieg,Facebook,4514
3/16/2019,Kirsten Gillibrand,Google,4300
3/16/2019,John Hickenlooper,Google,3500
3/16/2019,Tulsi Gabbard,Facebook,3176
3/16/2019,Marianne Williamson,Facebook,1828
3/16/2019,John Delaney,Google,700
3/16/2019,Marianne Williamson,Google,600
3/16/2019,Julián Castro,Facebook,196
3/16/2019,Andrew Yang,Google,100
3/23/2019,Amy Klobuchar,Facebook,198390
3/23/2019,Donald Trump,Facebook,150307
3/23/2019,Donald Trump,Google,142000
3/23/2019,Beto O'Rourke,Google,125400
3/23/2019,Elizabeth Warren,Facebook,121278
3/23/2019,Bernie Sanders,Facebook,68600
3/23/2019,Beto O'Rourke,Facebook,61264
3/23/2019,Andrew Yang,Facebook,57882
3/23/2019,John Delaney,Facebook,57647
3/23/2019,Kamala Harris,Facebook,50237
3/23/2019,Kirsten Gillibrand,Facebook,45507
3/23/2019,Pete Buttigieg,Google,42000
3/23/2019,Elizabeth Warren,Google,35200
